41,shark 1.00 0.44 0.21 0.46 0.26 shark 1.00 0.24 0.11 0.26 0.14 
42,shark 1.00 0.44 0.21 0.46 0.26 shark 1.00 0.24 0.11 0.26 0.14 
43,shark 1.00 0.44 0.21 0.46 0.26 shark 1.00 0.24 0.11 0.26 0.14 
44,shark 1.00 0.24 0.11 0.26 0.14 shark 0.81 0.44 0.21 0.46 0.27 
45,shark 1.00 0.24 0.11 0.26 0.14 shark 0.97 0.44 0.21 0.46 0.27 
46,shark 0.99 0.44 0.21 0.46 0.27 shark 0.60 0.24 0.10 0.26 0.14 
47,shark 1.00 0.44 0.21 0.46 0.27 shark 0.85 0.36 0.10 0.39 0.12 
48,shark 0.88 0.36 0.10 0.39 0.12 
49,dolphin 0.76 0.51 0.03 0.52 0.08 shark 0.65 0.36 0.10 0.39 0.12 
50,shark 0.63 0.36 0.10 0.39 0.12 dolphin 0.54 0.51 0.03 0.52 0.08 
51,shark 0.72 0.24 0.10 0.26 0.14 shark 0.60 0.36 0.10 0.39 0.12 shark 0.51 0.44 0.22 0.46 0.27 
